,full
Gender,26.232761904761905
Head_position_x_min,21.801142857142857
Head_position_x_max,26.997714285714288
Head_position_x_median,28.117714285714285
Head_position_x_mean,27.013714285714286
Head_position_x_std,25.57257142857143
Head_position_y_min,27.420571428571428
Head_position_y_max,24.48761904761905
Head_position_y_median,25.23771428571429
Head_position_y_mean,27.723809523809525
Head_position_y_std,30.45904761904762
Head_position_z_min,26.311238095238092
Head_position_z_max,24.01942857142857
Head_position_z_median,25.55161904761905
Head_position_z_mean,25.784
Head_position_z_std,24.326476190476193
Head_euler_x_min,25.46590476190476
Head_euler_x_max,23.275809523809528
Head_euler_x_median,23.10209523809524
Head_euler_x_mean,24.099809523809522
Head_euler_x_std,23.33752380952381
Head_euler_y_min,23.26857142857143
Head_euler_y_max,23.160761904761905
Head_euler_y_median,26.313142857142864
Head_euler_y_mean,27.303619047619048
Head_euler_y_std,26.428571428571427
Head_euler_z_min,25.11009523809524
Head_euler_z_max,29.338666666666672
Head_euler_z_median,27.608380952380955
Head_euler_z_mean,25.539047619047622
Head_euler_z_std,24.76495238095238
Head_quat_x_min,24.214476190476194
Head_quat_x_max,23.633142857142857
Head_quat_x_median,26.320000000000004
Head_quat_x_mean,23.739809523809527
Head_quat_x_std,23.719619047619048
Head_quat_y_min,28.274666666666665
Head_quat_y_max,26.201142857142855
Head_quat_y_median,26.912761904761908
Head_quat_y_mean,28.17714285714286
Head_quat_y_std,23.58209523809524
Head_quat_z_min,25.886857142857146
Head_quat_z_max,23.854476190476188
Head_quat_z_median,25.265904761904768
Head_quat_z_mean,25.751619047619048
Head_quat_z_std,24.910857142857143
Head_quat_w_min,25.32419047619048
Head_quat_w_max,28.643428571428576
Head_quat_w_median,22.83847619047619
Head_quat_w_mean,25.04761904761905
Head_quat_w_std,26.58285714285714
Head_sixD_a_min,24.908571428571435
Head_sixD_a_max,29.416000000000004
Head_sixD_a_median,26.435428571428574
Head_sixD_a_mean,23.11885714285715
Head_sixD_a_std,24.51733333333333
Head_sixD_b_min,25.596190476190475
Head_sixD_b_max,25.41447619047619
Head_sixD_b_median,27.54323809523809
Head_sixD_b_mean,26.476190476190474
Head_sixD_b_std,25.416761904761906
Head_sixD_c_min,26.475428571428573
Head_sixD_c_max,27.66361904761905
Head_sixD_c_median,25.978285714285718
Head_sixD_c_mean,27.65104761904762
Head_sixD_c_std,22.820952380952384
Head_sixD_d_min,27.00838095238095
Head_sixD_d_max,24.715428571428575
Head_sixD_d_median,25.23085714285714
Head_sixD_d_mean,27.946666666666662
Head_sixD_d_std,27.000761904761905
Head_sixD_e_min,24.953904761904766
Head_sixD_e_max,24.211428571428574
Head_sixD_e_median,25.23352380952381
Head_sixD_e_mean,26.43733333333334
Head_sixD_e_std,24.280380952380952
Head_sixD_f_min,27.377523809523808
Head_sixD_f_max,25.25790476190476
Head_sixD_f_median,23.049142857142854
Head_sixD_f_mean,25.09142857142858
Head_sixD_f_std,23.24647619047619
Head_velocity_x_min,26.925333333333338
Head_velocity_x_max,23.940952380952382
Head_velocity_x_median,25.490285714285715
Head_velocity_x_mean,24.30895238095238
Head_velocity_x_std,24.072761904761908
Head_velocity_y_min,27.52419047619048
Head_velocity_y_max,23.375619047619047
Head_velocity_y_median,26.145142857142858
Head_velocity_y_mean,26.898666666666667
Head_velocity_y_std,25.72571428571429
Head_velocity_z_min,23.083047619047615
Head_velocity_z_max,23.581333333333333
Head_velocity_z_median,24.48495238095238
Head_velocity_z_mean,24.454857142857144
Head_velocity_z_std,25.063619047619046
Head_angular_velocity_x_min,25.675809523809523
Head_angular_velocity_x_max,24.547428571428572
Head_angular_velocity_x_median,26.22438095238095
Head_angular_velocity_x_mean,25.34209523809524
Head_angular_velocity_x_std,26.571428571428573
Head_angular_velocity_y_min,27.012571428571427
Head_angular_velocity_y_max,26.752000000000006
Head_angular_velocity_y_median,22.729904761904766
Head_angular_velocity_y_mean,24.574476190476194
Head_angular_velocity_y_std,25.55428571428571
Head_angular_velocity_z_min,23.30209523809524
Head_angular_velocity_z_max,28.483428571428572
Head_angular_velocity_z_median,23.99695238095238
Head_angular_velocity_z_mean,25.56990476190476
Head_angular_velocity_z_std,24.69904761904762
Head_pause_duration_min,21.914285714285715
Head_pause_duration_max,24.491809523809525
Head_pause_duration_median,21.914285714285715
Head_pause_duration_mean,23.35161904761905
Head_pause_duration_std,25.036952380952382
RightHand_time_since_pause_min,28.289904761904765
RightHand_time_since_pause_max,25.917714285714286
RightHand_time_since_pause_median,27.987428571428573
RightHand_time_since_pause_mean,26.439619047619047
RightHand_time_since_pause_std,26.247238095238096
RightHand_position_x_min,23.01904761904762
RightHand_position_x_max,24.036190476190477
RightHand_position_x_median,23.512761904761902
